Cell_Reference,Sheet,Category,Input_Output,Formula,Description,Example_Value,Conditional_Formatting,Notes
B51,Dashboard,Portfolio,Input,,ETH Price GBP,=CS.PRICE("ETH"|"GBP"),2500,Auto-lookup or manual
B52,Dashboard,Portfolio,Output,"=B50*B51",Staked ETH Value,25,None,Calculated position
B53,Dashboard,Portfolio,Input,,LISA Balance,120,None,User updates monthly
B54,Dashboard,Portfolio,Output,"=SUM(B43:B46|B49|B52:B53)",Total Portfolio Value,1116,Green,Net worth calculation
B55,Dashboard,Portfolio,Output,"=B43/B54",BTC Allocation %,0.83,Yellow if >20,Check diversification
B56,Dashboard,Portfolio,Output,"=B46/B54",ETF Allocation %,0.05,Yellow if >50,Check diversification
B57,Dashboard,Portfolio,Output,"=B49/B54",Gold Allocation %,0.01,Yellow if >10,Check diversification
B58,Dashboard,Portfolio,Output,"=B52/B54",ETH Allocation %,0.02,Yellow if >10,Check diversification
B59,Dashboard,Portfolio,Output,"=B53/B54",LISA Allocation %,0.11,Yellow if >25,Check diversification
B60,Dashboard,Goals,Input,,Year 1 Target Portfolio,400,None,Goal setting
B61,Dashboard,Goals,Input,,Year 2 Target Portfolio,1000,None,Goal setting
B62,Dashboard,Goals,Output,"=B54/B60",Year 1 Progress %,279,Green if >100,Goal tracking
B63,Dashboard,Goals,Output,"=B54/B61",Year 2 Progress %,112,Green if >100,Goal tracking
